Customer_key,Customer_ID,First_name,Last_name,Country,Birthdate,Marital_status,Gender,Creation_date
1,11000,Jon,Yang,Australia,1971-10-06,Married,Male,2025-10-06
2,11001,Eugene,Huang,Australia,1976-05-10,Single,Male,2025-10-06
3,11002,Ruben,Torres,Australia,1971-02-09,Married,Male,2025-10-06
4,11003,Christy,Zhu,Australia,1973-08-14,Single,Female,2025-10-06
5,11004,Elizabeth,Johnson,Australia,1979-08-05,Single,Female,2025-10-06
6,11005,Julio,Ruiz,Australia,1976-08-01,Single,Male,2025-10-06
7,11006,Janet,Alvarez,Australia,1976-12-02,Single,Female,2025-10-06
8,11007,Marco,Mehta,Australia,1969-11-06,Married,Male,2025-10-06
9,11008,Rob,Verhoff,Australia,1975-07-04,Single,Female,2025-10-06
10,11009,Shannon,Carlson,Australia,1969-09-29,Single,Male,2025-10-06
11,11010,Jacquelyn,Suarez,Australia,1969-08-05,Single,Female,2025-10-06
12,11011,Curtis,Lu,Australia,1969-05-03,Married,Male,2025-10-06
13,11012,Lauren,Walker,United States,1979-01-14,Married,Female,2025-10-06
14,11013,Ian,Jenkins,United States,1979-08-03,Married,Male,2025-10-06
15,11014,Sydney,Bennett,United States,1973-11-06,Single,Female,2025-10-06
16,11015,Chloe,Young,United States,1984-08-26,Single,Female,2025-10-06
17,11016,Wyatt,Hill,United States,1984-10-25,Married,Male,2025-10-07
18,11017,Shannon,Wang,Australia,1949-12-24,Single,Female,2025-10-07
19,11018,Clarence,Rai,Australia,1955-10-06,Single,Male,2025-10-07
20,11019,Luke,Lal,Canada,1983-09-04,Single,Male,2025-10-07
21,11020,Jordan,King,Canada,1984-03-19,Single,Male,2025-10-07
22,11021,Destiny,Wilson,United States,1984-03-02,Single,Female,2025-10-07
23,11022,Ethan,Zhang,United States,1984-04-10,Married,Male,2025-10-07
24,11023,Seth,Edwards,United States,1984-04-09,Married,Male,2025-10-07
25,11024,Russell,Xie,United States,1984-03-16,Married,Male,2025-10-07
26,11025,Alejandro,Beck,Australia,1951-06-22,Married,Male,2025-10-07
27,11026,Harold,Sai,Australia,1951-10-01,Single,Male,2025-10-07
28,11027,Jessie,Zhao,Australia,1952-06-05,Married,Male,2025-10-07
29,11028,Jill,Jimenez,Australia,1951-10-09,Married,Female,2025-10-07
30,11029,Jimmy,Moreno,Australia,1952-06-19,Married,Male,2025-10-07
31,11030,Bethany,Yuan,Australia,1958-02-18,Married,Female,2025-10-07
32,11031,Theresa,Ramos,Australia,1953-02-18,Married,Female,2025-10-07
33,11032,Denise,Stone,Australia,1952-12-08,Married,Female,2025-10-07
34,11033,Jaime,Nath,Australia,1958-09-19,Married,Male,2025-10-07
35,11034,Ebony,Gonzalez,Australia,1952-12-16,Married,Female,2025-10-07
36,11035,Wendy,Dominguez,Australia,1953-08-23,Married,Female,2025-10-07
37,11036,Jennifer,Russell,United States,1984-06-16,Married,Female,2025-10-07
38,11037,Chloe,Garcia,Canada,1983-05-27,Single,Female,2025-10-07
39,11038,Diana,Hernandez,Australia,1953-09-20,Married,Female,2025-10-07
40,11039,Marc,Martin,Australia,1954-06-16,Married,Male,2025-10-07
41,11040,Jesse,Murphy,United States,1983-01-29,Married,Male,2025-10-07
42,11041,Amanda,Carter,United States,1983-04-15,Married,Female,2025-10-07
43,11042,Megan,Sanchez,United States,1982-12-11,Married,Female,2025-10-07
44,11043,Nathan,Simmons,United States,1981-08-23,Married,Male,2025-10-07
45,11044,Adam,Flores,Australia,1954-11-21,Married,Male,2025-10-07
46,11045,Leonard,Nara,Australia,1955-11-16,Single,Male,2025-10-07
47,11046,Christine,Yuan,Australia,1955-09-19,Married,Female,2025-10-07
48,11047,Jaclyn,Lu,Australia,1955-08-27,Married,Female,2025-10-07
49,11048,Jeremy,Powell,Australia,1956-05-21,Married,Male,2025-10-07
50,11049,Carol,Rai,United States,1986-01-15,Single,Female,2025-10-07
51,11050,Alan,Zheng,Australia,1957-03-06,Married,Male,2025-10-07
52,11051,Daniel,Johnson,Australia,1957-01-31,Single,Male,2025-10-07
53,11052,Heidi,Lopez,Australia,1957-02-03,Single,Female,2025-10-07
54,11053,Ana,Price,United States,1986-02-17,Married,Female,2025-10-07
55,11054,Deanna,Munoz,Australia,1957-09-07,Married,Female,2025-10-07
56,11055,Gilbert,Raje,Australia,1957-09-02,Married,Male,2025-10-07
57,11056,Michele,Nath,Australia,1958-10-01,Married,Female,2025-10-07
58,11057,Carl,Andersen,Australia,1970-04-07,Married,Male,2025-10-07
59,11058,Marc,Diaz,Australia,1965-04-23,Married,Male,2025-10-07
60,11059,Ashlee,Andersen,Australia,1959-09-29,Single,Female,2025-10-07
61,11060,Jon,Zhou,Australia,1959-09-14,Married,Male,2025-10-07
62,11061,Todd,Gao,Australia,1976-02-20,Married,Male,2025-10-07
63,11062,Noah,Powell,United States,1981-03-01,Married,Male,2025-10-07
64,11063,Angela,Murphy,United States,1980-10-04,Single,Female,2025-10-07
65,11064,Chase,Reed,United States,1981-06-05,Married,Male,2025-10-07
66,11065,Jessica,Henderson,United States,1979-04-08,Married,Female,2025-10-07
67,11066,Grace,Butler,United States,1979-05-27,Married,Female,2025-10-07
68,11067,Caleb,Carter,United States,1982-03-25,Single,Male,2025-10-07
69,11068,Tiffany,Liang,Australia,1966-09-19,Single,Female,2025-10-07
70,11069,Carolyn,Navarro,Australia,1966-09-17,Single,Female,2025-10-07
71,11070,Willie,Raji,Australia,1960-10-02,Married,Male,2025-10-07
72,11071,Linda,Serrano,Australia,1960-12-23,Single,Female,2025-10-07
73,11072,Casey,Luo,Australia,1960-08-05,Single,Female,2025-10-07
74,11073,Amy,Ye,Australia,1962-02-11,Single,Female,2025-10-07
75,11074,Levi,Arun,Australia,1962-02-25,Single,Male,2025-10-07
76,11075,Felicia,Jimenez,Australia,1963-05-16,Single,Female,2025-10-07
77,11076,Blake,Anderson,Australia,1963-01-10,Single,Male,2025-10-07
78,11077,Leah,Ye,Australia,1963-03-19,Single,Female,2025-10-07
79,11078,Gina,Martin,Canada,1985-01-06,Single,Female,2025-10-07
80,11079,Donald,Gonzalez,Australia,1970-03-07,Single,Male,2025-10-07
81,11080,Damien,Chander,Australia,1965-01-13,Married,Male,2025-10-07
82,11081,Savannah,Baker,United States,1972-01-21,Married,Female,2025-10-07
83,11082,Angela,Butler,United States,1972-02-01,Single,Female,2025-10-07
84,11083,Alyssa,Cox,United States,1977-03-11,Married,Female,2025-10-07
85,11084,Lucas,Phillips,United States,1963-03-12,Single,Male,2025-10-07
86,11085,Emily,Johnson,United States,1963-01-16,Single,Female,2025-10-07
87,11086,Ryan,Brown,United States,1963-06-22,Married,Male,2025-10-07
88,11087,Tamara,Liang,United States,1963-04-02,Married,Female,2025-10-07
89,11088,Hunter,Davis,United States,1963-05-25,Married,Male,2025-10-07
90,11089,Abigail,Price,United States,1962-08-05,Single,Female,2025-10-07
91,11090,Trevor,Bryant,United States,1968-12-13,Single,Male,2025-10-07
92,11091,Dalton,Perez,Canada,1962-10-02,Married,Male,2025-10-07
93,11092,Cheryl,Diaz,Australia,1972-11-02,Married,Female,2025-10-07
94,11093,Aimee,He,Australia,1978-09-06,Married,Female,2025-10-07
95,11094,Cedric,Ma,Australia,1967-09-29,Single,Male,2025-10-07
96,11095,Chad,Kumar,Australia,1968-02-29,Single,Male,2025-10-07
97,11096,Andrés,Anand,Australia,1968-02-07,Married,Male,2025-10-07
98,11097,Edwin,Nara,Australia,1972-10-23,Married,Male,2025-10-07
99,11098,Mallory,Rubio,Australia,1966-10-29,Single,Female,2025-10-07
100,11099,Adam,Ross,Australia,1966-09-05,Married,Male,2025-10-07
101,11100,Latasha,Navarro,Australia,1966-03-15,Single,Female,2025-10-07
102,11101,Abby,Sai,Australia,1970-11-05,Single,Female,2025-10-07
103,11102,Julia,Nelson,Australia,1970-10-19,Single,Female,2025-10-07
104,11103,Cassie,Chande,Australia,1981-04-12,Single,Female,2025-10-07
105,11104,Edgar,Sara,Australia,1975-03-08,Married,Male,2025-10-07
106,11105,Candace,Fernandez,Australia,1970-06-27,Single,Female,2025-10-07
107,11106,Jessie,Liu,Australia,1970-03-11,Single,Male,2025-10-07
108,11107,Bianca,Lin,Australia,1976-03-04,Married,Female,2025-10-07
109,11108,Kari,Alvarez,Australia,1969-01-10,Single,Female,2025-10-07
110,11109,Ruben,Kapoor,Australia,1980-04-30,Single,Male,2025-10-07
111,11110,Curtis,Yang,Australia,1967-12-04,Married,Male,2025-10-07
112,11111,Meredith,Gutierrez,Australia,1967-08-23,Married,Female,2025-10-07
113,11112,Crystal,Wang,Australia,1968-03-08,Married,Female,2025-10-07
114,11113,Micheal,Blanco,Australia,1973-02-17,Married,Male,2025-10-07
115,11114,Leslie,Moreno,Australia,1967-11-25,Single,Female,2025-10-07
116,11115,Alvin,Cai,Australia,1967-08-12,Married,Male,2025-10-07
117,11116,Clinton,Carlson,Australia,1979-04-02,Married,Male,2025-10-07
118,11117,April,Deng,Australia,1966-08-21,Married,Female,2025-10-07
119,11118,Alvin,Zeng,Australia,1962-12-31,Single,Male,2025-10-07
120,11119,Evan,James,Australia,1940-10-07,Single,Male,2025-10-07
121,11120,Beth,Jiménez,Australia,1942-02-06,Single,Female,2025-10-07
122,11121,Orlando,Suarez,Australia,1966-05-18,Married,Male,2025-10-07
123,11122,Byron,Vazquez,Australia,1965-09-30,Married,Male,2025-10-07
124,11123,Philip,Alvarez,Australia,1965-12-18,Married,Male,2025-10-07
125,11124,Ross,Jordan,Australia,1968-07-23,Single,Male,2025-10-07
126,11125,Dana,Navarro,Australia,1961-10-06,Single,Female,2025-10-07
127,11126,Shaun,Carson,Australia,1954-10-05,Married,Male,2025-10-07
128,11127,Jan,Edwards,United States,1981-04-19,Married,Female,2025-10-07
129,11128,Samantha,Long,United States,1981-06-03,Married,Female,2025-10-07
130,11129,Julia,Wright,United States,1981-02-01,Single,Female,2025-10-07
131,11130,Caroline,Russell,United States,1985-07-05,Married,Female,2025-10-07
132,11131,Amanda,Rivera,Canada,1985-09-09,Married,Female,2025-10-07
133,11132,Melissa,Richardson,Canada,1986-04-25,Single,Female,2025-10-07
134,11133,Angela,Griffin,United States,1986-03-08,Single,Female,2025-10-07
135,11134,Larry,Townsend,Australia,1957-02-22,Single,Male,2025-10-07
136,11135,Marcus,Harris,United States,1985-05-02,Single,Male,2025-10-07
137,11136,Brianna,Morgan,Canada,1984-04-24,Single,Female,2025-10-07
138,11137,Jasmine,Taylor,United States,1984-01-17,Married,Female,2025-10-07
139,11138,Lauren,Davis,United States,1984-03-14,Married,Female,2025-10-07
140,11139,Tanya,Moreno,Australia,1949-11-05,Single,Female,2025-10-07
141,11140,Javier,Alvarez,United States,1982-08-11,Single,Male,2025-10-07
142,11141,Nicole,Ramirez,United States,1982-12-19,Married,Female,2025-10-07
143,11142,Eduardo,Patterson,Canada,1983-02-11,Single,Male,2025-10-07
144,11143,Jonathan,Henderson,United States,1982-08-04,Married,Male,2025-10-07
145,11144,Edward,Hernandez,United States,1985-03-08,Single,Male,2025-10-07
146,11145,Jasmine,Coleman,United States,1985-06-06,Single,Female,2025-10-07
147,11146,Karla,Goel,Australia,1945-02-22,Single,Female,2025-10-07
148,11147,Ernest,Wu,Australia,1944-08-04,Married,Male,2025-10-07
149,11148,Ross,Vazquez,Australia,1947-02-13,Married,Male,2025-10-07
150,11149,Theodore,Gill,Australia,1946-10-18,Married,Male,2025-10-07
151,11150,Russell,Shen,Australia,1946-09-12,Single,Male,2025-10-07
152,11151,Melinda,Gill,Australia,1947-08-25,Single,Female,2025-10-07
153,11152,James,Williams,United States,1981-07-09,Single,Male,2025-10-07
154,11153,Angela,James,United States,1981-12-21,Married,Female,2025-10-07
155,11154,Megan,Walker,United States,1982-02-18,Single,Female,2025-10-07
156,11155,Hunter,Robinson,United States,1981-07-25,Single,Male,2025-10-07
157,11156,Maria,Roberts,United States,1981-08-06,Single,Female,2025-10-07
158,11157,Hannah,Long,United States,1980-12-08,Married,Female,2025-10-07
159,11158,Jason,Wright,United States,1981-04-06,Single,Male,2025-10-07
160,11159,Brianna,Hughes,United States,1981-03-16,Single,Female,2025-10-07
161,11160,Maurice,Tang,United States,1979-07-08,Single,Male,2025-10-07
162,11161,Emily,Wood,United States,1979-10-20,Single,Female,2025-10-07
163,11162,Chase,Cox,United States,1979-09-02,Single,Male,2025-10-07
164,11163,Gabriel,Wang,United States,1980-06-18,Married,Male,2025-10-07
165,11164,Devin,Brooks,United States,1979-11-02,Single,Male,2025-10-07
166,11165,Jocelyn,Alexander,United States,1979-01-15,Married,Female,2025-10-07
167,11166,Ashley,Martinez,United States,1977-10-22,Single,Female,2025-10-07
168,11167,Jasmine,Barnes,United States,1978-01-29,Single,Female,2025-10-07
169,11168,David,Rodriguez,United States,1973-11-12,Single,Male,2025-10-07
170,11169,Bryce,Richardson,United States,1973-12-20,Married,Male,2025-10-07
171,11170,Carol,Howard,United States,1973-08-04,Married,Female,2025-10-07
172,11171,Jonathan,Hill,United States,1978-10-05,Single,Male,2025-10-07
173,11172,Gabrielle,Adams,United States,1973-05-20,Married,Female,2025-10-07
174,11173,Sarah,Thomas,United States,1973-02-28,Single,Female,2025-10-07
175,11174,Nicholas,Robinson,United States,1973-01-09,Married,Male,2025-10-07
176,11175,Luis,Wang,United States,1968-09-01,Single,Male,2025-10-07
177,11176,Mason,Roberts,Canada,1979-01-21,Married,Male,2025-10-07
178,11177,Jose,Flores,United States,1948-01-01,Married,Male,2025-10-07
179,11178,Nathan,Johnson,United States,1954-08-20,Married,Male,2025-10-07
180,11179,Molly,Rodriguez,United States,1959-12-08,Married,Female,2025-10-07
181,11180,April,Anand,United States,1948-07-01,Married,Female,2025-10-07
182,11181,Devin,Martin,United States,1960-02-01,Married,Male,2025-10-07
183,11182,Stephanie,Torres,United States,1950-02-22,Single,Female,2025-10-07
184,11183,Jasmine,Lee,United States,1950-01-12,Single,Female,2025-10-07
185,11184,Meghan,Hernandez,United States,1955-11-13,Single,Female,2025-10-07
186,11185,Ashley,Henderson,Canada,1950-04-07,Single,Female,2025-10-07
187,11186,Sarah,Price,United States,1949-11-18,Single,Female,2025-10-07
188,11187,Jennifer,Cooper,United States,1949-08-21,Married,Female,2025-10-07
189,11188,Catherine,Morris,United States,1950-03-06,Married,Female,2025-10-07
190,11189,Lawrence,Blanco,United States,1950-01-12,Single,Male,2025-10-07
191,11190,Carson,Bryant,United States,1949-12-20,Married,Male,2025-10-07
192,11191,Kristi,Perez,United States,1951-06-17,Single,Female,2025-10-07
193,11192,James,Brown,United States,1951-03-13,Married,Male,2025-10-07
194,11193,Ian,Gray,United States,1950-08-13,Married,Male,2025-10-07
195,11194,Jacqueline,Price,United States,1950-12-08,Married,Female,2025-10-07
196,11195,Megan,Henderson,United States,1951-08-10,Married,Female,2025-10-07
197,11196,Alfredo,Romero,United States,1951-12-05,Married,Male,2025-10-07
198,11197,Andrea,Morris,United States,1951-12-16,Married,Female,2025-10-08
199,11198,Brooke,Sanders,United States,1952-05-25,Single,Female,2025-10-08
200,11199,Jacqueline,Bennett,United States,1957-11-02,Married,Female,2025-10-08
201,11200,Jason,Griffin,Canada,1953-05-21,Married,Male,2025-10-08
202,11201,Amanda,Foster,United States,1953-02-14,Married,Female,2025-10-08
